ID,date,Open,High,Low,Close,Volume
439,15/10/2019 0:00,1.09,1.11,1.01,1.07,18275500
440,16/10/2019 0:00,1.07,1.12,1.07,1.12,11799000
441,17/10/2019 0:00,1.13,1.13,1.06,1.06,1217500
442,18/10/2019 0:00,1.06,1.13,1.04,1.07,1029500
443,21/10/2019 0:00,1.12,1.09,1.02,1.06,2323500
444,22/10/2019 0:00,1.08,1.08,0.96,1.02,1526000
445,23/10/2019 0:00,1.03,1.04,1.01,1.01,12558000
446,24/10/2019 0:00,1.04,1.05,1.01,1.02,17230000
447,25/10/2019 0:00,1.12,1.12,1.02,1.05,24306500
448,28/10/2019 0:00,1.05,1.12,1.05,1.11,4108000
449,29/10/2019 0:00,1.12,1.28,1.07,1.22,37529000
450,30/10/2019 0:00,1.25,1.3,1.15,1.2,13341000
451,31/10/2019 0:00,1.3,1.33,1.16,1.22,24256500
452,01/11/2019 0:00,1.28,1.29,1.2,1.25,5304500
453,04/11/2019 0:00,1.25,1.26,1.19,1.2,3732000
454,05/11/2019 0:00,1.27,1.64,1.27,1.48,81714000
455,06/11/2019 0:00,1.54,1.57,1.47,1.49,15795500
456,07/11/2019 0:00,1.5,1.8,1.48,1.7,45814500
457,08/11/2019 0:00,1.7,1.83,1.66,1.69,21461500
458,11/11/2019 0:00,1.7,1.78,1.69,1.71,14480500
459,12/11/2019 0:00,1.74,1.78,1.65,1.66,10261500
460,13/11/2019 0:00,1.65,1.65,1.54,1.63,12861000
461,14/11/2019 0:00,1.63,1.66,1.55,1.59,4232000
462,15/11/2019 0:00,1.61,1.7,1.56,1.67,4624000
463,18/11/2019 0:00,1.67,1.72,1.62,1.66,6540500
464,19/11/2019 0:00,1.69,1.69,1.57,1.58,4741500
465,20/11/2019 0:00,1.6,1.65,1.56,1.59,28332000
466,21/11/2019 0:00,1.64,1.64,1.5,1.51,4682000
467,22/11/2019 0:00,1.51,1.57,1.5,1.55,2548000
468,25/11/2019 0:00,1.55,1.61,1.55,1.59,2449500
469,26/11/2019 0:00,1.61,1.61,1.45,1.46,4971000
470,27/11/2019 0:00,1.55,1.55,1.45,1.47,1678500
471,28/11/2019 0:00,1.5,1.55,1.45,1.46,5917000
472,29/11/2019 0:00,1.54,1.55,1.47,1.52,6009000
473,02/12/2019 0:00,1.55,1.58,1.49,1.5,4459000
474,03/12/2019 0:00,1.51,1.56,1.46,1.48,3836000
475,04/12/2019 0:00,1.55,1.57,1.48,1.53,4709500
476,05/12/2019 0:00,1.55,1.55,1.45,1.47,4244500
477,06/12/2019 0:00,1.47,1.52,1.45,1.46,2610500
478,09/12/2019 0:00,1.48,1.5,1.39,1.4,4495500
479,10/12/2019 0:00,1.45,1.45,1.36,1.43,2632000
480,11/12/2019 0:00,1.45,1.45,1.38,1.4,2492500
481,12/12/2019 0:00,1.38,1.4,1.36,1.38,1666500
482,13/12/2019 0:00,1.38,1.41,1.35,1.39,2095000
483,16/12/2019 0:00,1.39,1.44,1.31,1.33,4947500
484,17/12/2019 0:00,1.38,1.38,1.3,1.34,1941500
485,18/12/2019 0:00,1.31,1.33,1.26,1.3,1722500
486,19/12/2019 0:00,1.28,1.32,1.21,1.24,1554500
487,20/12/2019 0:00,1.3,1.3,1.17,1.28,5271000
488,23/12/2019 0:00,1.23,1.41,1.2,1.21,13641000
489,24/12/2019 0:00,1.23,1.34,1.18,1.2,10846500
490,26/12/2019 0:00,1.23,1.31,1.2,1.27,21015000
491,27/12/2019 0:00,1.3,1.52,1.28,1.38,31828500
492,30/12/2019 0:00,1.45,1.45,1.36,1.38,9117000
493,31/12/2019 0:00,1.4,1.48,1.36,1.38,4671500
494,01/01/2020 0:00,1.4,1.51,1.37,1.47,6393000
495,02/01/2020 0:00,1.46,1.56,1.46,1.53,10414000
496,03/01/2020 0:00,1.53,1.55,1.4,1.41,9920500
497,06/01/2020 0:00,1.38,1.38,1.3,1.31,4473000
498,07/01/2020 0:00,1.3,1.42,1.3,1.39,3504000
499,08/01/2020 0:00,1.36,1.36,1.28,1.3,5180500
500,09/01/2020 0:00,1.4,1.4,1.29,1.33,19863500
501,10/01/2020 0:00,1.37,1.38,1.29,1.33,13129000
502,13/01/2020 0:00,1.31,1.38,1.31,1.36,3262500
503,14/01/2020 0:00,1.39,1.4,1.35,1.38,3826500
504,15/01/2020 0:00,1.36,1.39,1.32,1.34,1230500
505,16/01/2020 0:00,1.38,1.38,1.29,1.3,11671500
506,17/01/2020 0:00,1.34,1.34,1.27,1.28,8592000
507,20/01/2020 0:00,1.3,1.3,1.24,1.25,9750500
508,21/01/2020 0:00,1.29,1.29,1.19,1.21,9804500
509,22/01/2020 0:00,1.22,1.24,1.17,1.23,3953000
510,23/01/2020 0:00,1.19,1.26,1.1,1.2,16497000
511,24/01/2020 0:00,1.24,1.24,1.14,1.19,3181000
512,27/01/2020 0:00,1.24,1.24,1.14,1.17,3553500
513,28/01/2020 0:00,1.17,1.19,1.15,1.16,1564000
514,29/01/2020 0:00,1.15,1.21,1.07,1.09,22725000
515,30/01/2020 0:00,1.1,1.15,1.05,1.13,8059500
516,31/01/2020 0:00,1.13,1.13,1.09,1.1,5920000
517,03/02/2020 0:00,1.06,1.08,1.04,1.05,7070500
518,04/02/2020 0:00,1.05,1.1,1.04,1.06,3583000
519,06/02/2020 0:00,1.08,1.1,1.04,1.06,2064500
520,07/02/2020 0:00,1.05,1.08,1.01,1.02,2765000
521,10/02/2020 0:00,1.04,1.05,0.98,1,8953500
522,11/02/2020 0:00,1.01,1.02,0.98,1,6131000
523,12/02/2020 0:00,1.01,1.04,0.99,1,5335000
524,13/02/2020 0:00,1,1.05,0.98,0.99,3466000
525,14/02/2020 0:00,1,1.01,0.98,0.99,1899500
526,17/02/2020 0:00,0.99,1,0.97,0.97,1638000
527,18/02/2020 0:00,1,1,0.94,0.95,2493500
528,19/02/2020 0:00,0.96,0.97,0.93,0.94,4295000
529,20/02/2020 0:00,0.94,0.96,0.92,0.93,1667500
530,21/02/2020 0:00,0.94,0.95,0.92,0.94,467000
531,24/02/2020 0:00,0.93,0.95,0.85,0.89,4057000
532,25/02/2020 0:00,0.89,0.89,0.82,0.87,3071500
533,26/02/2020 0:00,0.86,0.89,0.84,0.88,1038000
534,27/02/2020 0:00,0.79,0.86,0.79,0.84,2905500
535,28/02/2020 0:00,0.87,0.97,0.85,0.95,1632500
536,02/03/2020 0:00,0.95,1.05,0.89,0.98,8506500
537,03/03/2020 0:00,0.98,1,0.93,0.95,3014500
538,04/03/2020 0:00,0.97,0.97,0.93,0.94,664500
539,05/03/2020 0:00,0.97,1.01,0.94,0.99,8836500
540,06/03/2020 0:00,0.99,0.99,0.93,0.95,1133500
541,09/03/2020 0:00,0.9,0.9,0.77,0.84,4765000
542,10/03/2020 0:00,0.89,0.92,0.84,0.89,1108000
543,11/03/2020 0:00,0.86,0.9,0.82,0.83,2307500
544,12/03/2020 0:00,0.84,0.84,0.78,0.79,4380000
545,13/03/2020 0:00,0.79,0.85,0.74,0.8,5690500
546,16/03/2020 0:00,0.84,0.84,0.7,0.72,4395500
547,17/03/2020 0:00,0.67,0.76,0.67,0.7,3971000
548,18/03/2020 0:00,0.7,0.72,0.65,0.67,3510000
549,19/03/2020 0:00,0.65,0.75,0.6,0.73,6706500
550,20/03/2020 0:00,0.76,0.8,0.7,0.77,3896000
551,24/03/2020 0:00,0.7,0.75,0.62,0.67,1018500
552,25/03/2020 0:00,0.7,0.7,0.64,0.66,1579500
553,26/03/2020 0:00,0.67,0.72,0.66,0.69,1595000
554,27/03/2020 0:00,0.69,0.75,0.66,0.74,986500
555,30/03/2020 0:00,0.73,0.73,0.69,0.72,909500
556,31/03/2020 0:00,0.72,0.75,0.7,0.75,1528000
557,01/04/2020 0:00,0.75,0.75,0.73,0.74,1602500
558,02/04/2020 0:00,0.74,0.78,0.7,0.75,10817000
559,03/04/2020 0:00,0.75,0.75,0.7,0.74,7410500
560,06/04/2020 0:00,0.75,0.75,0.71,0.72,1361000
561,07/04/2020 0:00,0.73,0.73,0.7,0.73,2240500
562,08/04/2020 0:00,0.74,0.74,0.71,0.73,744000
563,09/04/2020 0:00,0.74,0.76,0.72,0.73,5474500
564,10/04/2020 0:00,0.71,0.75,0.7,0.72,1573500
565,13/04/2020 0:00,0.71,0.73,0.69,0.72,3535500
566,14/04/2020 0:00,0.72,0.74,0.68,0.71,1326000
567,15/04/2020 0:00,0.71,0.72,0.68,0.69,865500
568,16/04/2020 0:00,0.7,0.75,0.69,0.73,1474000
569,17/04/2020 0:00,0.75,0.9,0.75,0.81,11753000
570,20/04/2020 0:00,0.85,0.87,0.79,0.85,7464000
571,21/04/2020 0:00,0.8,0.85,0.7,0.8,2577500
572,22/04/2020 0:00,0.8,0.85,0.78,0.8,2881500
573,23/04/2020 0:00,0.85,0.85,0.8,0.81,771000
574,24/04/2020 0:00,0.83,0.85,0.8,0.82,1048500
575,27/04/2020 0:00,0.8,0.81,0.78,0.8,284000
576,28/04/2020 0:00,0.83,0.84,0.77,0.8,4513500
577,29/04/2020 0:00,0.82,0.82,0.79,0.8,454000
578,30/04/2020 0:00,0.79,0.82,0.78,0.79,2458500
579,04/05/2020 0:00,0.79,0.81,0.75,0.79,1527000
580,05/05/2020 0:00,0.77,0.85,0.76,0.77,7177500
581,06/05/2020 0:00,0.8,0.8,0.76,0.77,5158500
582,07/05/2020 0:00,0.78,0.8,0.75,0.76,4698000
583,08/05/2020 0:00,0.79,0.79,0.77,0.78,788000
584,11/05/2020 0:00,0.8,1.1,0.8,1,62427000
585,12/05/2020 0:00,1.02,1.04,0.93,0.95,13324500
586,13/05/2020 0:00,0.98,0.98,0.87,0.9,6846000
587,14/05/2020 0:00,0.9,0.92,0.84,0.88,6360500
588,15/05/2020 0:00,0.89,0.95,0.89,0.94,4037500
589,18/05/2020 0:00,0.96,1.02,0.89,0.91,17323000
590,19/05/2020 0:00,0.97,0.97,0.9,0.91,3760000
591,20/05/2020 0:00,0.91,0.93,0.9,0.92,2752000
592,21/05/2020 0:00,0.93,0.93,0.9,0.91,1798000
593,28/05/2020 0:00,0.93,0.93,0.86,0.88,3374500
594,29/05/2020 0:00,0.9,0.91,0.87,0.89,4259000
595,01/06/2020 0:00,0.91,0.92,0.87,0.87,2572000
596,02/06/2020 0:00,0.91,0.91,0.85,0.86,1697000
597,03/06/2020 0:00,0.88,0.9,0.84,0.84,1620500
